Both Sensors Readings
Current Time,Temperature (C),Gas (ohm),Humidity (%),Pressure (hPa),Altitude (m),PM1.0 (standard),PM2.5 (standard),PM10 (standard),PM1.0 (env),PM2.5 (env),PM10 (env),Particles >0.3um,Particles >0.5um,Particles >1.0um,Particles >2.5um,Particles >5.0um,Particles >10um
2025-02-28 16:14:22,21.4321484375,150380,44.767013006173265,999.354792184578,116.33475471057483,11,15,18,11,15,18,1989,557,87,15,2,0
2025-02-28 16:14:22,21.426484375,150650,44.77845257263563,999.3485805592659,116.38705233375856,11,15,18,11,15,18,1989,557,87,15,2,0
2025-02-28 16:14:23,21.4087109375,150246,44.78851046232265,999.3441517149954,116.42434032450895,11,15,18,11,15,18,1989,557,87,15,2,0
2025-02-28 16:14:24,21.4012890625,150785,44.811838347089235,999.3452997499934,116.41467460300865,11,16,20,11,16,20,2016,565,95,18,3,1
2025-02-28 16:14:25,21.3958203125,151874,44.835392133746225,999.3497803552742,116.37695085406574,11,16,20,11,16,20,2016,565,95,18,3,1
2025-02-28 16:14:26,21.375703125,149844,44.85122968907149,999.3568883501861,116.31710649377925,11,16,20,11,16,20,2016,565,95,18,3,1
2025-02-28 16:14:27,21.368671875,151464,44.87460944046849,999.356975207834,116.31637521508912,11,16,19,11,16,19,1986,554,95,15,2,1
2025-02-28 16:14:28,21.3630078125,151737,44.89814832413372,999.3490361127389,116.38321687713469,11,16,19,11,16,19,1986,554,95,15,2,1
2025-02-28 16:14:29,21.3450390625,151601,44.92028309665315,999.3494486754399,116.37974337538449,11,16,19,11,16,19,1986,554,95,15,2,1
2025-02-28 16:14:29,21.3348828125,152425,44.937265296826254,999.3511073753318,116.36577824443344,11,16,19,11,16,19,2043,570,99,12,2,1
2025-02-28 16:14:30,21.32921875,152425,44.942665708831136,999.3569789436656,116.31634376208237,11,16,19,11,16,19,2043,570,99,12,2,1
2025-02-28 16:14:31,21.3133984375,151601,44.9590017078924,999.3576023868561,116.31109482201046,11,16,19,11,16,19,2043,570,99,12,2,1
2025-02-28 16:14:32,21.3067578125,152287,44.976389079618905,999.3618065733727,116.27569868608622,11,16,19,11,16,19,2004,560,107,12,3,1
2025-02-28 16:14:33,21.30109375,152702,45.01809103100788,999.3624981739761,116.26987593290411,11,16,19,11,16,19,2004,560,107,12,3,1
2025-02-28 16:14:34,21.2833203125,151464,45.01605625447664,999.3718700406275,116.19097223672946,11,16,19,11,16,19,2004,560,107,12,3,1
2025-02-28 16:14:35,21.2766796875,152012,45.057654636175414,999.3691680388873,116.21372089035845,10,15,17,10,15,17,1905,533,92,8,2,1
2025-02-28 16:14:35,21.2700390625,152980,45.05689398342481,999.3681921221963,116.2219373261646,10,15,17,10,15,17,1905,533,92,8,2,1
2025-02-28 16:14:36,21.2508984375,151737,45.097068761290984,999.3579658189836,116.30803498797411,10,15,17,10,15,17,1905,533,92,8,2,1
2025-02-28 16:14:37,21.2423046875,153119,45.114244138220926,999.3553820588905,116.3297883872743,11,17,19,11,17,19,2001,554,108,11,3,1
2025-02-28 16:14:38,21.236640625,153820,45.13781124335844,999.3664288462073,116.23678271223822,11,17,19,11,17,19,2001,554,108,11,3,1
2025-02-28 16:14:39,21.2153515625,152425,45.153534089371306,999.3628899400063,116.26657756114672,11,17,19,11,17,19,2001,554,108,11,3,1
2025-02-28 16:14:40,21.2079296875,151874,45.18295979661693,999.3674832059545,116.2279058364155,11,18,19,11,18,19,2052,564,126,11,3,1
2025-02-28 16:14:41,21.2005078125,152841,45.20027672921135,999.3565417711482,116.32002443959679,11,18,19,11,18,19,2052,564,126,11,3,1
2025-02-28 16:14:41,21.1809765625,152841,45.2283194512298,999.3490962941625,116.38271018976495,11,18,19,11,18,19,2052,564,126,11,3,1
2025-02-28 16:14:42,21.1739453125,153539,45.257801152976114,999.3560810407648,116.3239034587668,11,18,20,11,18,20,2064,568,130,12,3,1
2025-02-28 16:14:43,21.1680859375,153539,45.287422118551085,999.366791582774,116.23372875615995,11,18,20,11,18,20,2064,568,130,12,3,1
2025-02-28 16:14:44,21.1497265625,152149,45.29743150139042,999.3647954222309,116.25053486622453,11,18,20,11,18,20,2064,568,130,12,3,1
2025-02-28 16:14:45,21.139375,153259,45.32048151408565,999.3626595000533,116.26851769001408,11,17,19,11,17,19,2058,560,118,9,3,1
2025-02-28 16:14:46,21.1313671875,154385,45.34380358397716,999.367975454513,116.22376149516516,11,17,19,11,17,19,2058,560,118,9,3,1
2025-02-28 16:14:47,21.112421875,153679,45.35374766834966,999.3684278463645,116.219952717135,11,17,19,11,17,19,2058,560,118,9,3,1
2025-02-28 16:14:48,21.105390625,153119,45.38324775846836,999.3702321635866,116.20476182126956,11,18,19,11,18,19,2139,594,120,9,3,1
2025-02-28 16:14:48,21.10109375,153399,45.38881581570714,999.3715264281938,116.19386517075297,11,18,19,11,18,19,2139,594,120,9,3,1
2025-02-28 16:14:49,21.0815625,153539,45.42294622623081,999.365798793031,116.24208726568074,11,18,19,11,18,19,2139,594,120,9,3,1
2025-02-28 16:14:50,21.0751171875,154811,45.4222045366958,999.3651508884103,116.24754211710382,12,17,18,12,17,18,2163,602,114,6,2,0
2025-02-28 16:14:51,21.071015625,153399,45.445987636539876,999.3667779549454,116.23384349171998,12,17,18,12,17,18,2163,602,114,6,2,0
2025-02-28 16:14:52,21.055,153539,45.46840193179682,999.3670494829471,116.23155744045198,12,17,18,12,17,18,2163,602,114,6,2,0
2025-02-28 16:14:53,21.0493359375,153820,45.50414248086448,999.3746370318855,116.1676764759088,11,17,18,11,17,18,2142,588,118,6,2,0
2025-02-28 16:14:54,21.0454296875,154243,45.53402542497234,999.3765969227603,116.15117585940655,11,17,18,11,17,18,2142,588,118,6,2,0
2025-02-28 16:14:54,21.029609375,154527,45.538269153277994,999.3720230529527,116.18968399908117,11,17,18,11,17,18,2142,588,118,6,2,0
2025-02-28 16:14:55,21.0239453125,154102,45.56795452185466,999.370981774119,116.19845071166048,11,16,17,11,16,17,2079,572,108,6,2,0
2025-02-28 16:14:56,21.0192578125,154243,45.57955069641477,999.3698819248276,116.20771054742178,11,16,17,11,16,17,2079,572,108,6,2,0
2025-02-28 16:14:57,21.001875,153679,45.58361465534175,999.3764432676212,116.15246950422072,11,16,17,11,16,17,2079,572,108,6,2,0
2025-02-28 16:14:58,20.9973828125,154102,45.58309664970805,999.3808528926595,116.1153442979469,11,15,16,11,15,16,2010,549,97,5,1,0
2025-02-28 16:14:59,20.99328125,154527,45.612968669375725,999.382478259866,116.10166015365823,11,15,16,11,15,16,2010,549,97,5,1,0
2025-02-28 16:15:00,20.9723828125,153961,45.61055800207011,999.3778587457947,116.14055239506727,11,15,16,11,15,16,2010,549,97,5,1,0
2025-02-28 16:15:00,20.9594921875,155240,45.62121000777629,999.3817327361025,116.10793679753105,11,16,18,11,16,18,2055,563,103,9,4,0
2025-02-28 16:15:01,20.9493359375,155384,45.613969261444794,999.3816473044238,116.10865605616173,11,16,18,11,16,18,2055,563,103,9,4,0
2025-02-28 16:15:02,20.9301953125,154385,45.617831270647414,999.3834758257267,116.0932615464896,11,16,18,11,16,18,2055,563,103,9,4,0
2025-02-28 16:15:03,20.9247265625,154385,45.61720069342405,999.3827655810039,116.09924116744722,10,14,15,10,14,15,1902,519,91,6,3,0
2025-02-28 16:15:04,20.9219921875,155240,45.63509371243758,999.3832730639797,116.09496861744981,10,14,15,10,14,15,1902,519,91,6,3,0
